question,intent
먼지 알려주겠니,먼지
먼지 정보 알려주세요,먼지
그 때 먼지 어떨까,먼지
그 때 먼지 좋으려나,먼지
미세 먼지 어떨 것 같은데,먼지
먼지 어때,먼지
미세 먼지 말해줄래,먼지
먼지 어떠니,먼지
먼지 많이 꼈나,먼지
먼지 어떠냐,먼지
야 미세 먼지 어때,먼지
오늘 먼지 알려줘,먼지
먼지 어떠려나,먼지
전주 미세먼지 어떤지 말해줘,먼지
미세먼지 궁금해서 물어봤어,먼지
먼지 알려주세요,먼지
공기 어떠려나,먼지
현재 공기 어떠려나,먼지
오늘 먼지 알려주겠니,먼지
먼지 궁금해,먼지
지금 먼지 어떤데,먼지
저기 먼지 어때,먼지
먼지 완전 문젠데,먼지
세종 먼지 한 번 알려줘,먼지
모레 먼지 궁금해,먼지
먼지 궁금해요,먼지
먼지 어떨까,먼지
지금 공기 상태 심해지네,먼지
현재 먼지 어때,먼지
공기 상태 좀 알려줄래,먼지
궁금해 먼지,먼지
어때 좀 먼지,먼지
내일 근데 먼지 어떠려나,먼지
미세먼지 없니 현재,먼지
지금 미세먼지 없니 현재,먼지
공기 어때 현재,먼지
공기상태 알려줘,먼지
아 먼지 심하네,먼지
어떤데 먼지,먼지
먼지 알려줬으면 졸겠어,먼지
미세먼지 없나,먼지
지금 먼지 많네,먼지
내일 여행갈건데 먼지 알려줘,먼지
먼지 궁금하네,먼지
오늘 먼지 심하니,먼지
내일 미세먼지 어떨까,먼지
먼지 많이 심하려나,먼지
알려주세요 먼지,먼지
먼지 꼈나,먼지
먼지 끼었나,먼지
현재 지금 먼지 많니,먼지
먼지 알려주세요 궁금해요,먼지
맑으려나 내일,먼지
먼지 궁금해서,먼지
먼지 안 심해야 하는데,먼지
공기상태 알려줘,먼지
내일 공기 깨끗하니,먼지
서울 다음주 먼지 알려줄래요,먼지
부안 먼지 어떻게 돼,먼지
오늘 서천 공기 상태 좀 알려줄수 있니,먼지
내일 먼지상태 알려줄수 있어,먼지
이번 주 가로수길 먼지 알려줄래,먼지
구암 다음 주 먼지 알려줘,먼지
이번주 영등포 먼지 말해줘,먼지
구로 다음주 먼지 알려줄래,먼지
일산 먼지 상태 어떻게 돼요,먼지
오늘 안암 공기 상태 좀 알려줄수 있니,먼지
내일 먼지 알려줄수 있어,먼지
이번 주 홍대 먼지 알려줄래,먼지
남구 다음 주 먼지 알려줘,먼지
이번주 보령 먼지 줘,먼지
공기 맑을까,먼지
공기 먼지 심하니,먼지
현재 미세먼지 많이 없니,먼지
먼지 많이 없니,먼지
공기 많이 깨끗하지,먼지
먼지 많이 심할까,먼지
알려줘 먼지,먼지
내일 마스크 챙길까,먼지
마스크 써야하나,먼지
이번 주 먼지 많이 없니,먼지
내일 먼지 심하겠지,먼지
헉 혹시 먼지 심할까,먼지
먼지 심하니,먼지
내일 공기 상태 나쁠까,먼지
먼지 심하겠지 아마,먼지
먼지 심해지려나,먼지
오늘 먼지 심하니,먼지
미세먼지 알려줘,먼지
내일 공기 상태 나쁠까,먼지
공기 상태 나쁠까,먼지
혹시 내일 먼지 심하니 마스크 챙길까,먼지
마스크 필요하니,먼지
내일 마스크 필요할까,먼지
마스크 챙겨야하나 모르겠네,먼지
밀양 먼지 심하면 안되는데,먼지
공기 맑을까 그 때,먼지
혹시 먼지 심하니,먼지
그 때 혹시 공기 상태 나쁠까,먼지
나 내일 여행가는데 먼지 알려줘,먼지
그 때 혹시 심하니,먼지
하늘 심하니,먼지
미세먼지 없으려,먼지
먼지 꼈니,먼지
강남 미세먼지 심할까,먼지
공기 상태 심해질까,먼지
그 때 하늘 어떠려나,먼지
하늘 미세먼지 많이 심하니 그 날,먼지
먼지 어떨 것 같아,먼지
이번 주 공기 깨끗하니,먼지
많이 먼지 심하면 안될텐데,먼지
다음 주 공기 알려줘,먼지
내일 먼지 심할까,먼지
내일 혹시 서대문구 먼지 없으려나,먼지
오늘 미세먼지 심하니,먼지
군산 공기 상태 좋으려나,먼지
공기 상태 나쁠까 정말,먼지
먼지 없을까,먼지
내일 미세먼지 심하겠지 아마,먼지
내일 미세먼지 오면 안되는데,먼지
혹시 미세먼지 안심하겠지,먼지
의정부 미세먼지 없을까,먼지
내일 마스크 필요해,먼지
마스크 쓸까,먼지
내일 마스크 챙길까 말까,먼지
먼지 궁금한데 알려주겠니,먼지
혹시 먼지 알려줘,먼지
내일 모레 동두천 먼지 궁금해요,먼지
내일모레 먼지 궁금해,먼지
먼지 많이 심한가,먼지
서울 먼지 알려주겠니,먼지
부산 먼지 정보 알려주세요,먼지
혹시 그 때 대구 먼지 어떨까,먼지
그 때 대전 먼지 좋겠지,먼지
먼지 어떨 것 같은데,먼지
울산 먼지 어떨까요,먼지
송파구 먼지 어때요,먼지
덕진구 현재 공기 말해주겠니,먼지
청주 먼지 어떠니,먼지
오늘 전주 먼지 알려줘,먼지
먼지 어떠려나,먼지
그럼 구리 먼지 어떨까,먼지
전주 먼지 어떤지 좀 말해줘,먼지
창원 먼지 궁금해서 물어봤어요,먼지
경기도 먼지 알려주세요,먼지
공기 어떠려나,먼지
현재 공기 어떠려나,먼지
현재공기 어떠려나,먼지
오늘 먼지 알려주겠니,먼지
먼지 궁금해,먼지
현재 먼지 어떤데,먼지
저기 북구 먼지 어때,먼지
현재 인천 먼지 완전 문젠데,먼지
완주 모레 동대구 먼지 궁금해,먼지
먼지 궁금해요,먼지
완산구 현재 공기 상태 좋니,먼지
지금 먼지 어때,먼지
송파구 공기 상태 좀 알려줄래,먼지
궁금해 부천 먼지,먼지
어때 좀 안산 먼지,먼지
내일 근데 원주 먼지 어떠려나,먼지
울산 지금 미세먼지 없니,먼지
하늘 미세먼지 없니 지금,먼지
광주 공기상태 알려줘,먼지
어떤데 먼지,먼지
먼지 알려줬으면 졸겠어,먼지
평창 먼지 알려줘,먼지
오늘 미세먼지 없나,먼지
내일 여행갈건데 먼지 알려줘,먼지
먼지 궁금하네,먼지
오늘 먼지 심하니,먼지
내일 미세먼지 어떨까,먼지
알려주세요 춘천 먼지,먼지
광주 북구 먼지 어떠려나,먼지
먼지 알려주세요 궁금해요,먼지
그 날 먼지 많이 심하겠지,먼지
맑으려나 내일,먼지
먼지 궁금해서,먼지
먼지 안 심해야 하는데,먼지
무주 공기상태 알려줘,먼지
내일 공기 깨끗하니,먼지
완전 덥겠다,먼지
하늘 공기 맑을까,먼지
하늘 먼지 심하니,먼지
지금 남원 미세먼지 많이 없니,먼지
지금 경부 지방 많이 미세먼지 심할까,먼지
먼지 많이 심할까,먼지
알려줘 은평구 먼지,먼지
노원구 먼지 궁금하네,먼지
내일 마스크 챙길까,먼지
